ID Intervenant,ID Client,geometry_intervenant,Permis,geometry_client,distance,duration
838320706,522099746,POINT (1.3919715 48.7385156),1.0,POINT (1.3745039 48.7290588),2.6 km,6 mins
776399834,522099746,POINT (1.3414973 48.7272205),1.0,POINT (1.3745039 48.7290588),3.8 km,9 mins
854577575,522099746,POINT (1.3579211 48.7447023),0.0,POINT (1.3745039 48.7290588),3.4 km,15 mins
648993440,522099746,POINT (1.2410824 48.7613818),1.0,POINT (1.3745039 48.7290588),13.1 km,16 mins
888888888,522099746,POINT (1.3796637 48.7209265),1.0,POINT (1.3745039 48.7290588),1.8 km,4 mins
480302361,522099746,POINT (1.3827051 48.7302065),1.0,POINT (1.3745039 48.7290588),0.9 km,3 mins
710283561,522099746,POINT (1.374591 48.7325587),1.0,POINT (1.3745039 48.7290588),0.6 km,2 mins
810259688,522099746,POINT (1.356134 48.711115),0.0,POINT (1.3745039 48.7290588),3.4 km,11 mins
764144581,522099746,POINT (1.5004603 48.6603812),1.0,POINT (1.3745039 48.7290588),13.5 km,18 mins
78007874,522099746,POINT (1.3803568 48.7389345),1.0,POINT (1.3745039 48.7290588),1.7 km,4 mins
746414886,522099746,POINT (1.1976441 48.7694552),1.0,POINT (1.3745039 48.7290588),16.4 km,23 mins
1452747150,522099746,POINT (1.2531719 48.8432071),0.0,POINT (1.3745039 48.7290588),20.8 km,1 hour 14 mins
78005437,522099746,POINT (1.3562779 48.712418),1.0,POINT (1.3745039 48.7290588),2.7 km,6 mins
213237245,522099746,POINT (1.2411202 48.7632262),1.0,POINT (1.3745039 48.7290588),13.3 km,17 mins
609468992,522099746,POINT (1.2325806 48.6405554),1.0,POINT (1.3745039 48.7290588),16.1 km,18 mins
818696864,522099746,POINT (1.3579211 48.7447023),1.0,POINT (1.3745039 48.7290588),5.9 km,10 mins
813991780,522099746,POINT (1.0731951 48.6927148),1.0,POINT (1.3745039 48.7290588),24.6 km,28 mins
739888851,522099746,POINT (1.303906 48.75186),1.0,POINT (1.3745039 48.7290588),8.4 km,13 mins
78012267,522099746,POINT (1.3719853 48.7292064),1.0,POINT (1.3745039 48.7290588),0.2 km,1 min
700168298,522099746,POINT (1.210611 48.7580989),1.0,POINT (1.3745039 48.7290588),15.2 km,19 mins
162858075,192451998,POINT (1.3746477 48.7222691),1.0,POINT (1.3327037 48.7263435),6.2 km,9 mins
78007018,192451998,POINT (1.351054 48.689927),1.0,POINT (1.3327037 48.7263435),7.0 km,10 mins
856089133,192451998,POINT (1.5230773 48.6454179),0.0,POINT (1.3327037 48.7263435),22.4 km,1 hour 17 mins
842621873,192451998,POINT (1.3798422 48.728863),1.0,POINT (1.3327037 48.7263435),4.3 km,9 mins
838320706,192451998,POINT (1.3919715 48.7385156),1.0,POINT (1.3327037 48.7263435),5.5 km,11 mins
776399834,192451998,POINT (1.3414973 48.7272205),1.0,POINT (1.3327037 48.7263435),1.0 km,3 mins
854577575,192451998,POINT (1.3579211 48.7447023),0.0,POINT (1.3327037 48.7263435),4.6 km,16 mins
648993440,192451998,POINT (1.2410824 48.7613818),1.0,POINT (1.3327037 48.7263435),11.1 km,12 mins
888888888,192451998,POINT (1.3796637 48.7209265),1.0,POINT (1.3327037 48.7263435),6.2 km,9 mins
480302361,192451998,POINT (1.3827051 48.7302065),1.0,POINT (1.3327037 48.7263435),4.4 km,10 mins
710283561,192451998,POINT (1.374591 48.7325587),1.0,POINT (1.3327037 48.7263435),3.8 km,8 mins
810259688,192451998,POINT (1.356134 48.711115),0.0,POINT (1.3327037 48.7263435),3.9 km,14 mins
764144581,192451998,POINT (1.5004603 48.6603812),1.0,POINT (1.3327037 48.7263435),21.7 km,22 mins
78007874,192451998,POINT (1.3803568 48.7389345),1.0,POINT (1.3327037 48.7263435),4.6 km,9 mins
746414886,192451998,POINT (1.1976441 48.7694552),1.0,POINT (1.3327037 48.7263435),14.4 km,18 mins
1452747150,192451998,POINT (1.2531719 48.8432071),0.0,POINT (1.3327037 48.7263435),19.9 km,1 hour 6 mins
78005437,192451998,POINT (1.3562779 48.712418),1.0,POINT (1.3327037 48.7263435),4.2 km,6 mins
