ID Client 1,ID Client 2,geometry_client_1,geometry_client_2,distance_car,duration_car,distance_bike,duration_bike
446362468,466678534,POINT (1.436412 48.7251381),POINT (1.421348 48.7471879),4094,442,3226,544
213156949,466678534,POINT (1.3400246 48.7286767),POINT (1.421348 48.7471879),7773,712,7977,1681
867813356,466678534,POINT (1.2796346 48.6692689),POINT (1.421348 48.7471879),16265,1130,16564,3282
658302934,466678534,POINT (1.3825654 48.7399113),POINT (1.421348 48.7471879),3222,306,3616,821
78899980,466678534,POINT (1.3760534 48.7188515),POINT (1.421348 48.7471879),6559,528,6178,1192
197274024,466678534,POINT (1.3616833 48.7136486),POINT (1.421348 48.7471879),7868,602,7533,1524
559475456,658187452,POINT (1.3756893 48.7210523),POINT (1.3386537 48.7258805),5417,482,3453,967
559277088,658187452,POINT (1.3756893 48.7210523),POINT (1.3386537 48.7258805),5417,482,3453,967
87852633,658187452,POINT (1.4987735 48.691944),POINT (1.3386537 48.7258805),17679,1314,17439,3573
243033408,658187452,POINT (1.332848 48.726393),POINT (1.3386537 48.7258805),598,90,633,133
817127257,658187452,POINT (1.3833051 48.7249427),POINT (1.3386537 48.7258805),5260,673,5735,1217
480337694,658187452,POINT (1.3390499 48.7297346),POINT (1.3386537 48.7258805),735,138,684,134
87274454,658187452,POINT (1.465217 48.6745197),POINT (1.3386537 48.7258805),18176,1156,16369,3384
541258495,658187452,POINT (1.2034312 48.771986),POINT (1.3386537 48.7258805),14722,1152,14428,2966
522099746,658187452,POINT (1.3745039 48.7290588),POINT (1.3386537 48.7258805),4394,558,4305,962
192451998,658187452,POINT (1.3327037 48.7263435),POINT (1.3386537 48.7258805),610,91,630,133
552306887,658187452,POINT (1.3748625 48.7296135),POINT (1.3386537 48.7258805),4332,550,4296,971
803656603,658187452,POINT (1.3819999 48.7236),POINT (1.3386537 48.7258805),5920,585,4180,1151
446362468,658187452,POINT (1.436412 48.7251381),POINT (1.3386537 48.7258805),10949,976,10444,2216
213156949,658187452,POINT (1.3400246 48.7286767),POINT (1.3386537 48.7258805),613,114,562,106
867813356,658187452,POINT (1.2796346 48.6692689),POINT (1.3386537 48.7258805),8749,547,8749,1571
658302934,658187452,POINT (1.3825654 48.7399113),POINT (1.3386537 48.7258805),5180,645,4726,1103
78899980,658187452,POINT (1.3760534 48.7188515),POINT (1.3386537 48.7258805),4986,434,3548,1035
197274024,658187452,POINT (1.3616833 48.7136486),POINT (1.3386537 48.7258805),3572,335,3122,792
466678534,658187452,POINT (1.421348 48.7471879),POINT (1.3386537 48.7258805),8828,765,8257,1795
559475456,522610892,POINT (1.3756893 48.7210523),POINT (1.3680115 48.7386889),2703,382,2659,562
559277088,522610892,POINT (1.3756893 48.7210523),POINT (1.3680115 48.7386889),2703,382,2659,562
87852633,522610892,POINT (1.4987735 48.691944),POINT (1.3680115 48.7386889),14806,1179,14655,2822
243033408,522610892,POINT (1.332848 48.726393),POINT (1.3680115 48.7386889),4194,533,3972,798
817127257,522610892,POINT (1.3833051 48.7249427),POINT (1.3680115 48.7386889),2274,332,2660,536
480337694,522610892,POINT (1.3390499 48.7297346),POINT (1.3680115 48.7386889),3821,571,3566,704
87274454,522610892,POINT (1.465217 48.6745197),POINT (1.3680115 48.7386889),12374,1017,12899,2650
541258495,522610892,POINT (1.2034312 48.771986),POINT (1.3680115 48.7386889),16555,1277,17436,3550
522099746,522610892,POINT (1.3745039 48.7290588),POINT (1.3680115 48.7386889),1639,246,2127,459
192451998,522610892,POINT (1.3327037 48.7263435),POINT (1.3680115 48.7386889),4205,534,3970,797
552306887,522610892,POINT (1.3748625 48.7296135),POINT (1.3680115 48.7386889),1577,237,1577,419
803656603,522610892,POINT (1.3819999 48.7236),POINT (1.3680115 48.7386889),2397,333,2393,556
446362468,522610892,POINT (1.436412 48.7251381),POINT (1.3680115 48.7386889),7401,802,6884,1417
213156949,522610892,POINT (1.3400246 48.7286767),POINT (1.3680115 48.7386889),3852,572,3596,704
867813356,522610892,POINT (1.2796346 48.6692689),POINT (1.3680115 48.7386889),12819,946,12184,2305
658302934,522610892,POINT (1.3825654 48.7399113),POINT (1.3680115 48.7386889),1166,154,1166,304
78899980,522610892,POINT (1.3760534 48.7188515),POINT (1.3680115 48.7386889),2909,408,2865,621
197274024,522610892,POINT (1.3616833 48.7136486),POINT (1.3680115 48.7386889),3111,415,3233,596
466678534,522610892,POINT (1.421348 48.7471879),POINT (1.3680115 48.7386889),5051,472,4697,996
658187452,522610892,POINT (1.3386537 48.7258805),POINT (1.3680115 48.7386889),4559,615,4232,791
559475456,530138806,POINT (1.3756893 48.7210523),POINT (1.3463394 48.7384591),6008,501,3989,1056
559277088,530138806,POINT (1.3756893 48.7210523),POINT (1.3463394 48.7384591),6008,501,3989,1056
87852633,530138806,POINT (1.4987735 48.691944),POINT (1.3463394 48.7384591),18270,1333,16833,3434
243033408,530138806,POINT (1.332848 48.726393),POINT (1.3463394 48.7384591),2198,271,2232,477
817127257,530138806,POINT (1.3833051 48.7249427),POINT (1.3463394 48.7384591),4330,572,4438,1106
480337694,530138806,POINT (1.3390499 48.7297346),POINT (1.3463394 48.7384591),1826,309,1826,383
87274454,530138806,POINT (1.465217 48.6745197),POINT (1.3463394 48.7384591),18767,1175,15077,3262
541258495,530138806,POINT (1.2034312 48.771986),POINT (1.3463394 48.7384591),13281,1021,15801,3246
522099746,530138806,POINT (1.3745039 48.7290588),POINT (1.3463394 48.7384591),3464,458,3457,953
192451998,530138806,POINT (1.3327037 48.7263435),POINT (1.3463394 48.7384591),2209,272,2230,476
552306887,530138806,POINT (1.3748625 48.7296135),POINT (1.3463394 48.7384591),3402,449,3447,962
803656603,530138806,POINT (1.3819999 48.7236),POINT (1.3463394 48.7384591),4453,573,4573,1194
446362468,530138806,POINT (1.436412 48.7251381),POINT (1.3463394 48.7384591),11103,977,9063,2029
213156949,530138806,POINT (1.3400246 48.7286767),POINT (1.3463394 48.7384591),1856,310,1856,383
867813356,530138806,POINT (1.2796346 48.6692689),POINT (1.3463394 48.7384591),10349,728,12219,2245
658302934,530138806,POINT (1.3825654 48.7399113),POINT (1.3463394 48.7384591),4250,544,3345,916
78899980,530138806,POINT (1.3760534 48.7188515),POINT (1.3463394 48.7384591),5577,453,4195,1115
197274024,530138806,POINT (1.3616833 48.7136486),POINT (1.3463394 48.7384591),4163,354,4562,1090
466678534,530138806,POINT (1.421348 48.7471879),POINT (1.3463394 48.7384591),7387,634,6875,1608
658187452,530138806,POINT (1.3386537 48.7258805),POINT (1.3463394 48.7384591),2564,353,2475,484
522610892,530138806,POINT (1.3680115 48.7386889),POINT (1.3463394 48.7384591),2314,428,2165,610
559475456,78691334,POINT (1.3756893 48.7210523),POINT (1.333307 48.705077),5094,461,4880,1088
559277088,78691334,POINT (1.3756893 48.7210523),POINT (1.333307 48.705077),5094,461,4880,1088
87852633,78691334,POINT (1.4987735 48.691944),POINT (1.333307 48.705077),17356,1293,17336,3458
243033408,78691334,POINT (1.332848 48.726393),POINT (1.333307 48.705077),4492,315,3150,714
817127257,78691334,POINT (1.3833051 48.7249427),POINT (1.333307 48.705077),5780,590,6035,1332
480337694,78691334,POINT (1.3390499 48.7297346),POINT (1.333307 48.705077),5238,441,3821,843
87274454,78691334,POINT (1.465217 48.6745197),POINT (1.333307 48.705077),17853,1135,13541,2766
541258495,78691334,POINT (1.2034312 48.771986),POINT (1.333307 48.705077),14588,1202,14505,2955
522099746,78691334,POINT (1.3745039 48.7290588),POINT (1.333307 48.705077),5651,603,5096,1149
192451998,78691334,POINT (1.3327037 48.7263435),POINT (1.333307 48.705077),4480,314,3152,715
552306887,78691334,POINT (1.3748625 48.7296135),POINT (1.333307 48.705077),5588,594,5155,1159
